,Review_Date,Author_Name,Vehicle_Title,Review_Title,Review,Rating
0, on 04/26/16 08:25 AM (PDT),Kevin B. ,1999 Oldsmobile Intrigue Sedan GL 4dr Sedan,Discontinued & Even A Better Deal !!!," Yeah, the Olds line was terminated, but under the skin, it is 99% the same as the GM W-Platform line-up, which included the GrandPrix (Pontiac was also terminated) & Buick Century.  Buick is going no where, it is here to stay, and much of the mechanicals are also shared with Chevy cars.  I bought it cheap, $3,600, 8-9 years ago, knowing it sat (only had 36K miles on it) and needed new rotors, pads and some front end parts.  These all use the Buick/GM 3.8 L L36 OHV V6 & 4T65-E 4-speed AOD, which are about bulletproof!  In fact, the Buick 3.8 L, or 3800 Series II, is the lowest warranty claim engine GM ever sold.  Virtually without modification, that block can be turbo-charged, for a reliable 500+hp.  Mine is a basic model, but it is very comfortable, spacious - GOOD transportation.  There aren't a LOT of them out there, and many people have asked me what it was.  Personally, I think the styling of my Intrigue body is elegant, well proportioned and muscular, with bulging fenders.  It was the only W-body car to get the 12"" performance brakes. With good tires (Bridgestone & my FIRST General's, Altimax HP, which are surprisingly good - Thank you TireRack!), the car surprises people with it's very decent handling that would make grandma puke.  Parts?  Mechanical parts will NEVER be a problem, because they are GM parts bin parts, AND, I've gotten any parts I've needed, including grey interior trim parts, window switches, etc., on Ebay, and they were cheap.  Just replaced the CPM, which I bought online, delivered for under $20!  I usually get rid of cars every 8 years or so, but I'm thinking about switching from the 11"" brakes to the 12"" brakes, the parts look pretty cheap.  I think the dual bar front tower brace (originally for the GrandPrix) will fit and look inexpensive, si I'm thinking about putting in that front tower brace.  My wheels need refinishing (ruined at PepBoys when some numb-nuts sprayed brake cleaner on the clearcoat finish), and keeping it.  Took out the sound attenuator from the air-box, I'm going to get a K&N filter, and eventually, I'm going to have a larger diameter exhaust bent up and a more free flowing muffler installed.  The 4T65-E AOD is ar reliable as you can find too, so, this has been and should continue to be a CHEAP, RELIABLE, GOOD LOOKING, DECENT HANDLING car, and the intake and exhaust mods are not expensive, and should boost pep and mileage.  It's no M%, like a friend of mine bought, but he spends $1-2K EVERY time he takes it to his dealer.  I can fix most things in my driveway.  Told I need new brakes, probably $400+ for all 4 wheels, but I bought a kit with good rotors and ceramic composite pads, AND a tool to compress the caliper pads easier, delivered for just under $250.  I know I can swap them in just under 2 hours.  Like I said, GOOD & CHEAP transportation that does not look like 98% of the cars out there!",4
1, on 03/04/16 17:18 PM (PST),Amy ,1999 Oldsmobile Intrigue Sedan GL 4dr Sedan,Keep in mind," Discontinued Parts!! Its is a car that was made from 1998-2002 thats 4 years. If internal parts need replaced, its gonna cost a lot and you need 2 of almost everything e.g. : Timing chain guide's. You wont be able to get those from the Dealership as they are discontinued parts. Thats not a bad thing, it just means there isnt a great demand for those parts so they stopped manufacturing them for the  Dealership. Keep in Mind in those rare instances that you do need to replace them, you'll only find them in a kit, you'll need 2 kits ( 1 for each side of the 3.5 L. DOHC V6) Once its fixed I'm sure it will be a great car.",3
2, on 08/15/15 17:21 PM (PDT),Eva S ,1999 Oldsmobile Intrigue Sedan GL 4dr Sedan,So far Great reliable car for 7 years, I bought at auction. Had it for 7 years now. Great car as long as you keep it maintained. Very spacious. Traveled alot with it. Good gas mileage. Got way over over my moneys worth.,5
3, on 11/25/13 21:56 PM (PST),xzmr ,1999 Oldsmobile Intrigue Sedan GLS 4dr Sedan,Are you sure this is an Olds?," I am in love with this car. I have the Shortstar 3.5L and it goes fast. I love the way it sounds around 4,000RPM. I love the sound system. Its almost a perfect car. Build quality is eh. But that's what you get when you buy an American car. And the fuel economy isn't where I'd want it to be. I'm averaging 23MPG. 130,000 miles and still running perfect. It's so smooth and refined. It feels like a brand new car. The shifts are so seamless almost like its CVT. The handling is spot on, feels like a European car. But my favorite part, when you're doing about 50 and need to pass, in less than three seconds you're pushing 75. Just downshifts and goes like hell. Really a family car with muscle.",4.5
4, on 02/14/13 11:55 AM (PST),drdoug99 ,1999 Oldsmobile Intrigue Sedan GLS 4dr Sedan,"Olds intrigue is Fun to drive, comfortable. "," I just bought the car used off a random guy off Craigslist for 1,000 bucks a couple months ago.It has issues of course, most minor, some major for a 14 year old car.Just put another 1,000 into it having the rear strut assemblies replaced, new exhaust system, tie rod, alignment, etc. This is all the major work that needed done. The rest is piddly stuff that any old car would need.So for 2,000 bucks I have a car that drives like a 10,000 car. It's got the 3.5L, with 160,000 miles on it. The engine and transmission shift smooth and quiet. The motor has plenty of passing power. Very impressed with the car overall.",4
5, on 01/07/13 18:44 PM (PST),definingme ,1999 Oldsmobile Intrigue Sedan GLS 4dr Sedan,I love this car!," I bought this car in July of 2012 with 123K miles on her. It's a huge upgrade from my previous cars. She's an old V6, so naturally there are repairs, but she runs beautifully! I love the sound of the engine, and the feel! She is so easy to drive in the Midwestern snow/ice because she's much heavier than my previous cars. Since buying her, I've put on another 10K miles, and I have no regrets! She's reliable, sporty, comfortable, and by far the favorite car I've owned thus far! ",4.5
6, on 07/18/12 23:12 PM (PDT),oldskidd ,1999 Oldsmobile Intrigue Sedan GL 4dr Sedan,"Update since my 6/20/06 post, ""I miss the 3.5"""," I recommended this 99 Intrigue GL 3.5L back in spring 2001 with 27k mi for $13,500 to my parents and they bought it.It hit 100k in 2006 when i last posted and it currently has 137k.They just replaced the A/C condenser so the A/C works now *thank gawd, it's hot this summer!They've also replaced the exhaust system, suspension parts, and a few other minor things.i borrowed the Intrigue recently when my car was in the shop and I have to say this car still feels solid.My 2006 Saab has rattles in the door and which is disappointing for the Saab but impressive for the Intrigue because there isn't a single rattle in the cabin.",4.875
7, on 06/08/12 20:55 PM (PDT),maani ,1999 Oldsmobile Intrigue Sedan GL 4dr Sedan,"If I could, I would buy another one!"," As a car for a first time driver, I would give this car a 5 out of 5. It was safe, easy to handle, hard to dent and not embarrassing to be seen driving. My parents purchased this car in 2007 with 69,501 miles for $5000. Standard maintenance was fairly cheap. The only expensive replacement part was the alternator in 2011 at 120,000 miles. Sadly, I no longer drive it due to accident that hit my front driver's side wheel and ruined the driver's side door. The driverwas going 45mph when they hit me and I walked away without a single scratch. I would totally buy another intrigue if I could!",4.375
8, on 06/02/12 12:13 PM (PDT),5yearowner ,1999 Oldsmobile Intrigue Sedan GLS 4dr Sedan,Waste of Money," I purchased my Intrigue in April of 2007 and it was the biggest mistake for me. Yes i was impressed because it had a different engine & a rebuilt tranny, but 8mths later the axle shaft broke inside the tranny and had to repair that for 2500k. Not long after i had to repairthe alternator, the computer system, rack & pinion & bushels, crank shaft sensor, radiator, fuel filter. The head light wiring had a short, so i had to replace that every six months. I also had to replace the ignition switch and a year later the same problem. It would not start for 15 minutes then it would. Finally it needed $2500 of repair. Tie rods, hubs, motor mount. After $5,000 into the car already i said no way.",2.75
9, on 04/03/12 09:11 AM (PDT),meyeste ,1999 Oldsmobile Intrigue Sedan GLS 4dr Sedan,My BLK 199 GLS," I have a 1999 Oldsmobile GLS, I can't say the car is without flaws, but at 171,000k miles it has been a good car. A good friend has been through two Camry's in the time I've had my Intrigue. It has held up well and still gets' 28mpg's hwy and 22 city. The 3.5L engine is still strong, as long as I keep changing the oil I expect it to go 200k. I also love the front seats, they seem to be simply perfect, I have never been uncomfortable in them. It's still a sharp car after all these years, I don't regret buying it.",4.25
