,Review_Date,Author_Name,Vehicle_Title,Review_Title,Review,Rating
0, on 09/18/15 17:54 PM (PDT),Ijustwantavanthatworks ,2006 Saturn Relay Minivan 3 4dr Minivan (3.5L 6cyl 4A),Worst van we ever owned," Engine blew at 40,000, and now the transmission is slipping in first gear.  There is always some kind of knocking, squeaking, pinging, creaking going on.  The other day my husband and I thought there was a cat meowing under the hood every time we hit a bump, but it was just the van complaining again.  Radio tuner, gas gauge, engine light, ABS light, left side passenger door,  fan, and back wiper work sometimes, not others.   Very loud air conditioner blower.  Have never had a van so loud.   Have had this van in the shop more often than any other vehicle we owned except maybe that Dodge Omni we bought in college.   We will never buy another Saturn!",2
1, on 08/03/10 12:33 PM (PDT),cbt ,2006 Saturn Relay Minivan 3 4dr Minivan AWD (3.5L 6cyl 4A),Piece of crap," MOST RECENT problem: from being PARKED with engine running, car slid into REVERSE, rolled downhill, knocked me over twice and hit my neighbor's tree (better than the house)!  Add to that problems we've had since we bought it new: both sliding doors sometimes won't close; the dash lights flicker; the a/c goes out and we have to move the knob to heat and back to get cool air again; a/c only blows cool when we're actually rolling; ""ABS disengaged"" light comes on all the time; full brake replacement at 50K miles; radio changes station when braking suddenly; dead spot in accelerating from a stop; gas reads empty on incline even when 1/4 full; back wiper doesn't move; hard to get into 3rd row.",1.75
2, on 04/20/10 18:02 PM (PDT),Daddyainthappy ,2006 Saturn Relay Minivan 3 4dr Minivan (3.5L 6cyl 4A),Yugo's were better.," Not really but not far off. I had this thing in the shop four times while it was under warranty for an annoying popping/clicking noise in the front end. Each time they said they had it fixed and alas, it is now out of warranty and still pops.Oh, and the service engine light came on about 2000 miles after warranty expired. The computer code shows the catalytic converter is not functioning properly. Now my transmission is slipping horribly. Fluid is clean and has always been full. This van has not been driven hard or fast. It is simply a lemon and from looking at the other reviews, it is not alone in it's misery.",3.125
3, on 01/19/10 19:54 PM (PST),LEW ,2006 Saturn Relay Minivan 3 4dr Minivan (3.5L 6cyl 4A),I loved this van," This was the best van I ever owened.  I had one problem with one of the doors, it wouldnt close sometimes.  The gas mileage wasnt to good but other than that the kids and I loved it.",4.625
4, on 08/06/09 05:08 AM (PDT),noHappyRelayOwner ,2006 Saturn Relay Minivan 3 4dr Minivan (3.5L 6cyl 4A),ABS/Trac Control Light....AGAIN!!!!," We have had our vehicle in the shop 5 times now for the ABS Trac light issue. Everytime, ""I think we got it this time, must have been a short"", or ""Faulty wiring, we replaced it"". It just seems funny that this issue happened right at the time the warranty went out. ",2.75
5, on 01/22/09 04:42 AM (PST),gr8joy75 ,2006 Saturn Relay Minivan 2 4dr Minivan (3.5L 6cyl 4A),Not 100% happy," Like many others, our Relay has been in for repairs numerous times.  From the beginning it doesn't want to start at times.  Now that warranty is expired they found problem. Imagine that!  We don't have the problem with the molding like others, but it has been in for the brakes, sway bar, rear upper light, back seat pull broke, air vent broke (all plastic on it is cheap) shortly after purchase. Gets better gas mileage than others reported, but we set cruise at 65mph. Hwy mpg is about 28-30. Seats are difficult to get out.  Otherwise, it's a good vehicle.  ",3.5
6, on 06/01/08 21:03 PM (PDT),tee ,2006 Saturn Relay Minivan 3 4dr Minivan AWD (3.5L 6cyl 4A),Not so happy ," We have owned our Saturn for 9 months now and are not satisfied. We have been in and out of the dealership with so many problems : electrical ( abs and traction tire system needed to be serviced every other 3 weeks)  front tires squeal like a 50 year old car. The darn car beeps at you for no reason while driving down the road. The engine light goes on and off and dealership can't find a problem. Lost cruise control while driving on freeway, just cruising along and bang lost speed no warning just shut itself off. So not happy wish we could get rid of it.",4.25
7, on 04/22/08 11:35 AM (PDT),sgtuglee ,2006 Saturn Relay Minivan 3 4dr Minivan AWD (3.5L 6cyl 4A),Always Reliable," My 4th Saturn, I pulled a 3000 pound trailer from MD to AK via FL and AZ. Driven in 117 degree AZ and -23 degree AK. Always starts always works. Handles 12"" fresh snow with no problem.  Goes on ice, but doesn't like to stop or change direction, so go slow. Kids love the interior. Used the OnStar phone when we couldn't get cell signal in back country. I got 12 MPG towing 3000 lbs. I get 23 on mountain highway with no trailer and light load. 16 mpg in town. 14 mpg in snow in town. Continental tires were lousy. Have michelins now and they seem to be lasting well. Have had only one dealer needed repair and they covered it for free even though the warranty had expired by 2k miles. ",4.625
8, on 04/17/08 18:50 PM (PDT),Julie ,2006 Saturn Relay Minivan 2 4dr Minivan (3.5L 6cyl 4A),Do NOT Purchase this vehicle," I have had this van for almost 2 years now and it currently is in the shop for the 5th time. The driver door is always broken and you cannot drive the van with less than a half a tank of gas on an incline - the fuel cannot get to the engine and the car dies or will not start if parked.   I've had a rental for over a week and was just given a document from gm stating they couldn't fix the problem - it's ""just the way the car was designed"" and that I would have to live with it.  Very unreliable, interior plastic is cheap and breaks, the brakes squeal constantly, I had to replace tires at 15k.  Horrible gas mileage - about 15 mpg!",1.75
9, on 10/31/07 09:18 AM (PDT),david nelson ,2006 Saturn Relay Minivan 2 4dr Minivan (3.5L 6cyl 4A),Saturn Relay 2006- Check out the ride," Having many problems with rough ride. Tires replaced, extensive investigation of rough ride, dealership states ""interent to the vehicle"".  I will never buy another saturn. Only started happening about 15,000 miles.",2.125
10, on 07/18/07 02:06 AM (PDT),TTC ,2006 Saturn Relay Minivan 3 4dr Minivan (3.5L 6cyl 4A),"Few problems, but great buy"," Excellent experience with this, my first Saturn. It handles well, convenient features (cargo trays, sliidng doors, DVD.  Mileage 16 city, 24 hwy. No fit or finish problems. Only problems were flickering lights (fixed by dealer) and a radio that refuses to get any AM station (all FM stations are perfect!).",3.5
11, on 06/28/07 12:08 PM (PDT),rob ,2006 Saturn Relay Minivan 2 4dr Minivan (3.5L 6cyl 4A),Not so happy," I have owned my Relay for two years now, and it has seen its fair share of shop time. The steering pump has been replaced once and they have put tow steering columns and a new set of tie rods. The gas mileage isnt near what I expected either, it is worse. The kids do love the dvd player though and it looks sharp for a mini van.",2.75
12, on 04/02/07 17:18 PM (PDT),BP ,2006 Saturn Relay Minivan 2 4dr Minivan (3.5L 6cyl 4A),Domestics are still great, This was a much better deal than Toyota or Honda and looks far better than either. We will likely buy Saturn again if they keep making this van.,4.875
13, on 03/24/07 05:39 AM (PDT),Evets ,2006 Saturn Relay Minivan 2 4dr Minivan (3.5L 6cyl 4A),The good and not so good," We wanted a van and chose a Saturn based on the design and performance of the 3 Saturns we owned previously. While we really like the interior design and economy (avg 26 hwy) it seems this may have been rushed to market without adequate testing. There is a howl that eminates from the windshield at highway speed that can't be resolved, moulding and interior trim have simply fallen off, the automatic door won't close for no apparent reason(not good in a Michigan winter), there seem to be random rough idle issues.  No breakdowns but just not the level of quality we had experienced previously and come to expect. We won't buy GM again.",4.25
14, on 02/01/07 07:43 AM (PST),Dave ,2006 Saturn Relay Minivan 3 4dr Minivan (3.5L 6cyl 4A),2006 Saturn Relay, Nice vehicle but has an incurable electrical problem. Lights flicker so much that oncoming cars flash their lights. Saturn dealership tried replacing alternator but this did not help.  Dealership's ultimate finding was that this model just has this quirk and there is nothing they can do about it. Automatic side doors malfunctioning. Side doors had to be disabled after opening and closing repeatedly with alarm beeping continuously.,3
15, on 11/22/06 18:10 PM (PST),Evets ,2006 Saturn Relay Minivan 2 4dr Minivan (3.5L 6cyl 4A),2006 Relay on the road," This is our fourth Saturn vehicle.  We had 2 sport coupes and a 4 door and needed a van.  Purchased as a good overall value, we got this van with 1,500 miles for what we would have paid for the ""leading minivan"" with 70k miles.  It rides and performs well and gets good mileage for a vehicle its size.  Here about 1 year and 30k later we have some minor fit and finish issues.  It's fairly loud at highway speed, there's an annoying windshield howl at 70mph, experienced by a fellow Relay owner as well, some weatherstrip is already coming loose and I have had a minor transmission slip.  Hopefully it will hold up a bit better over the long haul.  Like the design, just seems the assembly is sloppy.",4.25
16, on 10/11/06 16:07 PM (PDT),bselmon ,2006 Saturn Relay Minivan 3 4dr Minivan (3.5L 6cyl 4A),Love it after 1 year," We have had our Relay for 1 year, The dealership warranty replaced a door motor and a radio , no questions asked. People remark how comfortable the 2nd row captain's seats are.  I like the pickup and the rear ultrasonic sensors, great for tight parking spots.  The kids love the DVD.  We love the car and have been treated well",4.5
17, on 08/17/06 21:59 PM (PDT),SpanglishScienceMom ,2006 Saturn Relay Minivan 3 4dr Minivan (3.5L 6cyl 4A),What Relay did I Buy??," Wow! After reading all these great reviews, I'm wondering if we are talking about the same vehicle. The mpg has never been over 16.8, and that's w/all freeway driving.  In the summer during the hotest days of Aug, the A/C refused to work twice. When usung the A/C mpg tops out at 15.1. Lots of minor molding, door sticking, cup holder derailing issues. Met other Saturn owner at dealership w/ identical issues plus they suffered oil leaks that were not satisfactorily handled. I miss my '91 4-Runner!",3.375
18, on 07/24/06 09:52 AM (PDT),Mad Matt ,2006 Saturn Relay Minivan 3 4dr Minivan (3.5L 6cyl 4A),Very Satisfied with Relay.," I tested most minivans before purchasing the Relay.  Great braking and handling.  Confortable for long trips.  I bought with heavy incentives from GM, and I like it more that the Honda and Hyundai.  I paid 7k less than most of the competition and it is a better minivan.  Can't beat that.",5
19, on 07/04/06 08:48 AM (PDT),Bryan ,2006 Saturn Relay Minivan 3 4dr Minivan AWD (3.5L 6cyl 4A),Could be better," Our Relay has been a vehicle that our children have come to love with the built in DVD player.  We couldn't go anywhere without it.  It is a smooth ride with a few bugs that need to be worked out.  The molding has a problem with sticking to the vehicle.  Our tires (Continentals) were worn to the wires after 11,000 miles.  The automatic sliding passenger door pops when closing.  Other than that we really like the vehicle.  OnStar is not the best thing if you dont live in the city.  Have tried using it when things go wrong with the vehicle and they cannot get the contracted towing companies to come out to give us a tow.  The first year service is ok for free but we would not pay for OnStar.",4.625
20, on 05/27/06 04:05 AM (PDT),Lady Anne ,2006 Saturn Relay Minivan 3 4dr Minivan (3.5L 6cyl 4A),Saturn 2006 Relay 3," The Relay 3 was the perfect minivan for us. As a disabled veteran a wheelchair, so we needed something with a lot of room but did not want a full sized van. The interior is very roomy, it comes standard with a DVD player and a 120 outlet in the back. Ours had the entertainment package & came with 2 wireless headphones as well. The center & backrow seats and toy box, lift out very easily, and there is tons of storage. Driving the Relay has been refreshing as well. It handles extremely well and has fantastic pickup. I highly recommend the Relay to everyone looking for an affordable minivan with lots of room, tons of standard features, and is fun to drive. ",5
21, on 12/17/05 23:49 PM (PST),Joe ,2006 Saturn Relay Minivan 2 4dr Minivan (3.5L 6cyl 4A),Great, I have found that the Relay is a great vehicle to drive and the gas mileage on our Relay has been fantastic. The included DVD player has been a lifesaver. I also love the electrical outlet that allows you to plug in regular electric products like a PS 2 game system.  ,5
22, on 11/15/05 20:31 PM (PST),m Pratt ,2006 Saturn Relay Minivan 3 4dr Minivan (3.5L 6cyl 4A),MGP Review, I have nothing but good things to say about this vehicle. Never a problem quality of car is very good and I love the styling. It gets good economy and is very reliable,5
23, on 10/25/05 22:13 PM (PDT),Barbara ,2006 Saturn Relay Minivan 2 4dr Minivan (3.5L 6cyl 4A),"Fun Family Car, Lots of Small Problems"," Bought Nov 2004, I love to go for drives with the family in my Relay.  I don't like that GM does not support all the issues it has had.  And the recall that made the second row seats difficult to flip forward has made getting to the third row inconvenient.  ",4
24, on 10/18/05 20:29 PM (PDT),Debra ,2006 Saturn Relay Minivan 2 4dr Minivan (3.5L 6cyl 4A),Great so far...," So far we love our Relay - The sliding door had to be recallibrated and the pinstriping is peeling - but these are minor things that can be fixed...  as far as Mini Vans go - It is easy to handle and fun to drive - Our son has plenty of room in the second row loves the DVD!  We only hope it gives us the same satifaction our first Saturn did which is still kicking after over 120,000 miles.",4.625
25, on 09/10/05 14:06 PM (PDT),wow ,2006 Saturn Relay Minivan 3 4dr Minivan (3.5L 6cyl 4A),A good car," This car is for the family.  Since I purchased the car, my two boys really enjoy the ride, the space, the entertainment system, and many amenities. With two months of driving, we are still in love with the vehicle.",5
26, on 08/27/05 13:30 PM (PDT),Muse4FDR ,2006 Saturn Relay Minivan 3 4dr Minivan (3.5L 6cyl 4A),Best vehicle we have ever owned., Best vehicle we have ever owned. Very sturdy vehicle. Great handling in emergency situations!,5
27, on 08/27/05 09:15 AM (PDT),Ruth ,2006 Saturn Relay Minivan 2 4dr Minivan (3.5L 6cyl 4A),Not overly impressed," I went against one of my basic rules and bought a first year model vehicle. GM continues to use inferior materials and parts. The brake pads wore out after only 8,000 miles and some exterior molding came loose soon after purchase. It handles well and has ok perfomance,but a couple of little details drag it down.",3.125
28, on 08/09/05 14:59 PM (PDT),ShuShu ,2006 Saturn Relay Minivan 2 4dr Minivan (3.5L 6cyl 4A),You're Going to Love It!, This ride is so smooth. I love to drive it as well as ride in it. The outside noise in minimal to none. And DVD comes standard. It is just a nice fun reliable car.,4.625
29, on 08/08/05 14:23 PM (PDT),John ,2006 Saturn Relay Minivan 3 4dr Minivan (3.5L 6cyl 4A),Great Buy," If you want an SUV with the interior of a minivan, this is your car. Great gas milelage, plenty of room, and drives great. Our family absolutely loves this car.",5
30, on 07/29/05 14:19 PM (PDT),Scott Nelson ,2006 Saturn Relay Minivan 2 4dr Minivan (3.5L 6cyl 4A),Mixed blessing," Our Saturn Relay has been a great vehicle to drive and carry the crew around in.  Good acceleration and handling for a large vehicle.  The trim needs a lot of work!  Exterior trim is peeling off, door trim and plastic mouldings behind the sliding doors peel off when the door opens.  Interior trim around both front doors is broken, and fell off, what a pain. ",3.875
31, on 12/28/06 12:22 PM (PST),pdg ,2007 Saturn Relay Minivan 2 4dr Minivan (3.9L 6cyl 4A),Saturn Relay, This is by far the roomiest and best handling minivan I have owned.  I've owned a Toyota Sienna and Nissan Quest in the past. The price was much less than that of other makes but had more options and standard features.  I would definitely recommend this minivan.,4.75
