,Review_Date,Author_Name,Vehicle_Title,Review_Title,Review,Rating
0, on 08/18/17 11:22 AM (PDT),JWH-3RD ,2015 Scion FR-S Coupe 2dr Coupe (2.0L 4cyl 6A),Drive - this is the best for 30 grand!," This is a true sports car by design and engineering. As the first new RWD sports coupe since the late '80's from Japan reveals a classic sports design that is an eye catcher to others on the road. It has enough power to maneuver without fear of failing on very twisty country roads. For example, I can woosh through a curve marked 15 mph at 45 mph or more. When it comes to stop, it stops as the brakes do not fade. I have not enjoyed a sports car like this one since I purchased a pocket rocket Eclipse back in 1993. This car has style, creature comfort, and driver confidence built in. The boxer engine is a real plus. Some argue this car needs more power but I am not convinced. Any great driver knows how to max out a well designed car regardless of engineering limitations. To say otherwise is just plain lame. Besides, why lose fuel economy with a larger engine when the average speed out of red light is proportional to someone else's car? Forget dragster with this care. Embrace true sports car driving instead. After all, it remains stable through turns and a dragster does not, This car is all about balance and fun.",5
1, on 03/16/17 08:39 AM (PDT),Evan Pomerenke ,2015 Scion FR-S Coupe 2dr Coupe (2.0L 4cyl 6M),Great All Aound Car," This car is a great all around car. It is comfortable, good looking, and fun to drive. It also has amazing handling. The only thing the car needs is more horsepower and low end torque (which can be done). All in all, it is definitely a bang for your buck.",4
2, on 11/07/16 19:54 PM (PST),Gigi DeMedeiros ,2015 Scion FR-S Coupe Release Series 1.0 2dr Coupe (2.0L 4cyl 6A),FR-S is FUNNNNNNN," I feel like I'm driving a race car and it sounds like it as well. Looks like the type of car HOT WHEELS should have out in their toy line. Seems to catch the eyes of all men young and old. A older man walked up to me one day in a parking lot and said ""This is a really nice looking car. It looks like your moving fast and your parked."" I get compliments where ever I go and cars are forever coming up wanting to race me.",5
3, on 10/08/16 15:03 PM (PDT),Winstonscifi ,2015 Scion FR-S Coupe 2dr Coupe (2.0L 4cyl 6A),A great road-tripper!," We wanted a great car to drive around the country. Our last sports car, a Chrysler Crossfire was perfect. We checked out a Miata and a Fiat Spyder, but there was just not enough trunk space. This Scion FR-S was perfect. Plenty of room. Great handling. 35 miles per gallon on the highway. And, since it was a new 2015, the dealer had it priced with a discount of $3000!Well, we've had the car for a year now, and I'm still very happy with it. I'm pleasantly surprised by the gasoline mileage - I average over 30 miles per gallon with every fill-up. The car has been rock solid in reliability. I've taken advantage of the ToyotaCare free maintenance - no cost oil and filter changes and tire rotations every 7500 miles. I'll be going in for the 15000 mile check up in about a month. Very happy with the Scion FR-S!",5
4, on 08/16/16 08:41 AM (PDT),Rain S ,2015 Scion FR-S Coupe 2dr Coupe (2.0L 4cyl 6A),"Reliable, Fun"," Scion FRS known for you JDM fanatics like myself included as Toyota 86, really pays homage to the true meaning of a sports car not just based on 0-60 but RWD, great handling, brakes, suspension. Sure it won't be 0-60 fast like the Mustangs, Challengers, Camaro but the car itself is truly engaging to drive whether or not it's a automatic or manual it may not be everyone's cup of tea but this car doesn't pretend to be. The way the automatic is programmed is truly different experience from ones I've driven and to note I've driven many MT cars from Civic SI, Celica GT, MK3 Supra, it gets the job done especially if you intend to daily drive this car, now if your gonna track the heck out of this then MT might suit you more. Make sure you have on sport mode and sport trac to get the most of the paddle shifters. To really appreciate this car you really need to drive it and I've been more than satisfied to what the designers and engineers did. There's thousands of ways to mod and customize this car as well but for me the HIDS with LED, rebadge, drop in intake was all that it needs.",5
5, on 01/23/16 13:55 PM (PST),David Krishan ,2015 Scion FR-S Coupe 2dr Coupe (2.0L 4cyl 6M),FR-S Great bang for your buck," This car isn't a rocket. It's a drifting, handling demon. If you want to go to the track and eat Mustangs, move on. You won't win. But if you want to have tremendous fun on corners, and a lively ride in traffic, this definitely is a car to consider.Yes, it's a bit underpowered acceleration-wise. You have to know that going in. And don't even consider automatic - 6-speed all the way or go home. That said, it is SO much fun to whip around traffic, take 90-degree turns at 50mph+, etc. It corners like a dream and is incredibly responsive. It's just a fun car.Also, it's a 2-seater. It may have four seats, but unless your friends are quad-amputees or children, they won't fit in the back. This is purely a 2-person cruising machine. The only way it would be more fun is if they made it a convertible.I have an hour-commute each way every day to work, and it puts a smile on my face every time I get in it. I have no regrets buying it.Edit 2 years later: I still love this cat for my daily driver. It is agile, small, but not Miata-small, you know? And while I will never win races in it, the handling on it is everything you could want from even a Porsche-level car. Definitely a keeper.I would recommend the Subaru BRZ over the Toyota however. The interior is much nicer, the service/warrantee better, and the price more or less the same.",5
6, on 12/29/16 07:04 AM (PST),Stephanie Gavidia ,2016 Scion FR-S Coupe 2dr Coupe (2.0L 4cyl 6M),Beautiful car, It's a beautiful car has very good speed. Very comfortable from the inside. Very sport car the interior has two colors black and red. The outer color is dark blue gray beautiful color. Once you buy this car you will not regret it you'll fall in love.,5
7, on 06/15/16 08:57 AM (PDT),Ish G. ,2016 Scion FR-S Coupe 2dr Coupe (2.0L 4cyl 6A),My second FRS," Great car, fast look good and gets lots of compliments, sadly dealers service is horrid, plus driver seat uncomfortable.",5
8, on 06/15/18 12:14 PM (PDT),phillipe marine ,2014 Scion FR-S Coupe 2dr Coupe (2.0L 4cyl 6M),honsest driver, expect to not have a lot horse power it rev a lot,5
9, on 05/27/16 10:40 AM (PDT),J keister ,2014 Scion FR-S Coupe 2dr Coupe (2.0L 4cyl 6M),Scion FR-S, Fantastic car.  Great to drive.,5
